ID,Name
005056A7-7CAC-1EED-82FE-07196D63E76A,Fuselage - Doors
005056A7-7CAC-1EED-82FE-07196D64076A,Fuselage - Windows
005056A7-7CAC-1EED-82FE-07196D64276A,Fuselage - Hydrualic Systems
005056A7-7CAC-1EED-82FE-07196D64476A,Fuselage - Radome
005056A7-7CAC-1EED-82FE-07196D64676A,Fuselage - Bulkhead
005056A7-7CAC-1EED-82FE-07196D64876A,Fuselage - Electrical connectors
005056A7-7CAC-1EED-82FE-07196D64A76A,Fuselage - Barrel sections
005056A7-7CAC-1EED-82FE-07196D64C76A,Fuselage - Spars
005056A7-7CAC-1EED-82FE-07196D64E76A,Fuselage - Floor Panels
005056A7-7CAC-1EED-82FE-07196D65076A,Fuselage - Ducting
005056A7-7CAC-1EED-82FE-07196D65276A,Fuselage - Latches
005056A7-7CAC-1EED-82FE-07196D65476A,Fuselage - Evacuation slides
005056A7-7CAC-1EED-82FE-07196D65676A,Fuselage - Insulation
005056A7-7CAC-1EED-82FE-07196D65876A,Wings - Flaps
005056A7-7CAC-1EED-82FE-07196D65A76A,"Wings - Fuel Tank, Center"
005056A7-7CAC-1EED-82FE-07196D65C76A,"Wings - Fuel Tank, Wing"
005056A7-7CAC-1EED-82FE-07196D65E76A,Wings - Spoiler
005056A7-7CAC-1EED-82FE-07196D66076A,Wings - Aileron
005056A7-7CAC-1EED-82FE-07196D66276A,Wings - Slats
005056A7-7CAC-1EED-82FE-07196D66476A,Wings - Winglet
005056A7-7CAC-1EED-82FE-07196D66676A,Wings - Wing box
005056A7-7CAC-1EED-82FE-07196D66876A,Wings - Leading Edge
005056A7-7CAC-1EED-82FE-07196D66A76A,Wings - Fairing
005056A7-7CAC-1EED-82FE-07196D66C76A,Empennage - Stablizer
005056A7-7CAC-1EED-82FE-07196D66E76A,Empennage - Rudder
005056A7-7CAC-1EED-82FE-07196D67076A,Empennage - Elevator
005056A7-7CAC-1EED-82FE-07196D67276A,Power Plant - Engine
005056A7-7CAC-1EED-82FE-07196D67476A,Power Plant - Cowling
005056A7-7CAC-1EED-82FE-07196D67676A,Power Plant - Nacelle
005056A7-7CAC-1EED-82FE-07196D67876A,Power Plant - Thurst Reverser
005056A7-7CAC-1EED-82FE-07196D67A76A,Power Plant - Pylon
005056A7-7CAC-1EED-82FE-07196D67C76A,Power Plant - Rotor/Propellor
005056A7-7CAC-1EED-82FE-07196D67E76A,Power Plant - Auxilliary Power Unit
005056A7-7CAC-1EED-82FE-07196D68076A,Power Plant - Compressor
005056A7-7CAC-1EED-82FE-07196D68276A,Power Plant - Electrical Generator
005056A7-7CAC-1EED-82FE-07196D68476A,Power Plant - Batteries
005056A7-7CAC-1EED-82FE-07196D68676A,Power Plant - Fan containment
005056A7-7CAC-1EED-82FE-07196D68876A,Landing Gear - Wheels
005056A7-7CAC-1EED-82FE-07196D68A76A,Landing Gear - Brakes
005056A7-7CAC-1EED-82FE-07196D68C76A,Landing Gear - Struts
005056A7-7CAC-1EED-82FE-07196D68E76A,Interior - Seats
005056A7-7CAC-1EED-82FE-07196D69076A,Interior - Galley
005056A7-7CAC-1EED-82FE-07196D69276A,Interior - Lavatory
005056A7-7CAC-1EED-82FE-07196D69476A,Interior - In-Flight Entertainment
005056A7-7CAC-1EED-82FE-07196D69676A,Interior - Interior Panels
005056A7-7CAC-1EED-82FE-07196D69876A,Interior - Lighting
005056A7-7CAC-1EED-82FE-07196D69A76A,Interior - Electronics
005056A7-7CAC-1EED-82FE-07196D69C76A,Interior - Avionics
005056A7-7CAC-1EED-82FE-07196D69E76A,Systems - Water and waste system
005056A7-7CAC-1EED-82FE-07196D6A076A,Systems - Cargo handling system
005056A7-7CAC-1EED-82FE-07196D6A276A,Systems - Fire suppresion systems
005056A7-7CAC-1EED-82FE-07196D6A476A,Systems - Actuation Systems
005056A7-7CAC-1EED-82FE-07196D6A676A,Systems - Environmental Control